"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
2.388814957E0	8.521500244E2	3.294562683E2	1.619062500E2	9.278549082E2
2.398814957E0	8.521125488E2	3.295500183E2	1.619062500E2	9.278537839E2
2.408814957E0	8.519812622E2	3.294375000E2	1.616437531E2	9.276474764E2
2.418815009E0	8.519812622E2	3.294750061E2	1.617187500E2	9.276738677E2
2.428814800E0	8.520750122E2	3.293812561E2	1.616625061E2	9.277168772E2
2.438756207E0	8.518312988E2	3.292500000E2	1.615875092E2	9.274333654E2
2.448814957E0	8.520000610E2	3.293625183E2	1.614375000E2	9.276021986E2
2.458814905E0	8.519625244E2	3.294375000E2	1.613625031E2	9.275812993E2
2.468814853E0	8.516812744E2	3.294000244E2	1.611000061E2	9.272640299E2
2.478814905E0	8.517562866E2	3.294000244E2	1.613250122E2	9.273720437E2
2.488814905E0	8.518500366E2	3.297000122E2	1.612687531E2	9.275549545E2
2.498814957E0	8.519250488E2	3.296250000E2	1.613625031E2	9.276134900E2
2.508814905E0	8.517937622E2	3.295687561E2	1.613250122E2	9.274664080E2
2.518970113E0	8.520000610E2	3.297187500E2	1.613062592E2	9.277059164E2
2.528814853E0	8.518875122E2	3.298125000E2	1.615875092E2	9.276848289E2
2.538814957E0	8.518125610E2	3.297937622E2	1.615312500E2	9.275995415E2
2.548814957E0	8.521500244E2	3.297375183E2	1.616062622E2	9.279025159E2
2.558814957E0	8.521312866E2	3.296250000E2	1.614000092E2	9.278094272E2
2.568814853E0	8.521875610E2	3.297937622E2	1.616250000E2	9.279602391E2
2.578814957E0	8.523562622E2	3.298687744E2	1.613812561E2	9.280994106E2
2.588815009E0	8.525625610E2	3.300750122E2	1.612687531E2	9.283426333E2
2.598814905E0	8.526750488E2	3.299625244E2	1.614187622E2	9.284320240E2
2.608814957E0	8.527500610E2	3.297937622E2	1.612875061E2	9.284181449E2
2.618814905E0	8.528438110E2	3.295687561E2	1.613625031E2	9.284373907E2
2.628814905E0	8.525250244E2	3.297562561E2	1.614750061E2	9.282307274E2
2.638971728E0	8.525437622E2	3.299062500E2	1.613625031E2	9.282816694E2
2.648815061E0	8.525437622E2	3.296250000E2	1.615125122E2	9.282078424E2
2.658814800E0	8.525625610E2	3.296812744E2	1.615125122E2	9.282450941E2
2.668814853E0	8.523375244E2	3.295500183E2	1.617000122E2	9.280244415E2
2.678815321E0	8.522437744E2	3.294750061E2	1.615500031E2	9.278855717E2
2.688814800E0	8.523000488E2	3.295687561E2	1.617375031E2	9.280032102E2
2.698814853E0	8.522437744E2	3.299250183E2	1.615312500E2	9.280421938E2
2.708814800E0	8.525250244E2	3.298500061E2	1.613062592E2	9.282346972E2
2.718814800E0	8.524875488E2	3.298875122E2	1.614375000E2	9.282364236E2
2.728815061E0	8.523187866E2	3.300562744E2	1.613437500E2	9.281251338E2
2.738814957E0	8.523000488E2	3.301687622E2	1.613437500E2	9.281479356E2
2.748814905E0	8.522813110E2	3.300375061E2	1.611937561E2	9.280579807E2
2.758814853E0	8.522625122E2	3.300000000E2	1.613437500E2	9.280534442E2
2.768814853E0	8.523187866E2	3.298875122E2	1.611937561E2	9.280390680E2
2.778814957E0	8.524312744E2	3.298875122E2	1.614562531E2	9.281880036E2
2.788815061E0	8.523937988E2	3.298125000E2	1.618125000E2	9.281889671E2
2.798814957E0	8.524312744E2	3.295875244E2	1.619062500E2	9.281598179E2
2.808814957E0	8.526000366E2	3.294750061E2	1.619062500E2	9.282748709E2
2.818814905E0	8.524125366E2	3.295312500E2	1.620375061E2	9.281455331E2
2.828814853E0	8.525625610E2	3.296625061E2	1.620937500E2	9.283397396E2
2.838814905E0	8.524500122E2	3.298687744E2	1.619812622E2	9.282900198E2
2.848815061E0	8.526000366E2	3.300375061E2	1.623187561E2	9.285466905E2
2.858814957E0	8.523937988E2	3.300187683E2	1.623000031E2	9.283473847E2
2.868814957E0	8.524500122E2	3.300562744E2	1.620375061E2	9.283664799E2
2.878814957E0	8.526750488E2	3.302437744E2	1.619812622E2	9.286299687E2
2.888815061E0	8.529187622E2	3.303937683E2	1.617187500E2	9.288613520E2
2.898815061E0	8.531250610E2	3.304687500E2	1.617187500E2	9.290774556E2
2.908815009E0	8.531062622E2	3.305625000E2	1.617750092E2	9.291033390E2
2.918815009E0	8.535187988E2	3.306000061E2	1.620937500E2	9.295510141E2
2.928814853E0	8.535000610E2	3.306562500E2	1.618875122E2	9.295178731E2
2.938814853E0	8.538562622E2	3.306937561E2	1.616437531E2	9.298158849E2
2.948814957E0	8.538187866E2	3.306937561E2	1.617375031E2	9.297977740E2
2.958814905E0	8.536875610E2	3.305625000E2	1.618125000E2	9.296436432E2
2.968815009E0	8.534812622E2	3.304312744E2	1.621125031E2	9.294598193E2
2.978814957E0	8.534812622E2	3.302062683E2	1.621125031E2	9.293798514E2
2.988815009E0	8.535000610E2	3.299812622E2	1.623000031E2	9.293499226E2
2.998814957E0	8.534625244E2	3.298875122E2	1.620000000E2	9.292298162E2
3.008814853E0	8.533312988E2	3.296812744E2	1.619812622E2	9.290328183E2
3.018815113E0	8.530875244E2	3.295312500E2	1.621312561E2	9.287818437E2
3.028814905E0	8.531062622E2	3.296812744E2	1.620937500E2	9.288457467E2
3.038815009E0	8.530687866E2	3.296250000E2	1.620375061E2	9.287815398E2
3.048814853E0	8.532188110E2	3.297375183E2	1.620000000E2	9.289527278E2
3.058814957E0	8.529375610E2	3.297750244E2	1.619625092E2	9.287011921E2
3.068814905E0	8.531250610E2	3.299437561E2	1.616812592E2	9.288843208E2
3.078815009E0	8.526563110E2	3.297937622E2	1.619062500E2	9.284397364E2
3.088814853E0	8.528438110E2	3.301312561E2	1.619062500E2	9.287318483E2
3.098815009E0	8.527687988E2	3.301125183E2	1.621125031E2	9.286922863E2
3.108814957E0	8.529187622E2	3.301687622E2	1.622812500E2	9.288794489E2
3.118814957E0	8.531625366E2	3.302437744E2	1.622437592E2	9.291234051E2
3.128815165E0	8.531812744E2	3.300187683E2	1.623187561E2	9.290737608E2
3.138814853E0	8.532937622E2	3.300187683E2	1.622625122E2	9.291672373E2
3.148815009E0	8.533125610E2	3.298687744E2	1.624687500E2	9.291672777E2
3.158996728E0	8.536500244E2	3.298875122E2	1.623562622E2	9.294641955E2
3.168814905E0	8.536687622E2	3.296812744E2	1.622062531E2	9.293820349E2
3.178814957E0	8.539125366E2	3.297375183E2	1.618875122E2	9.295703404E2
3.188814957E0	8.538937988E2	3.295125122E2	1.617562561E2	9.294504838E2
3.198814957E0	8.535375366E2	3.295500183E2	1.618312531E2	9.291495549E2
3.208814957E0	8.534437866E2	3.297375183E2	1.617937622E2	9.291234307E2
3.218815530E0	8.534625244E2	3.296250000E2	1.618312531E2	9.291072466E2
3.228814957E0	8.529937744E2	3.295875244E2	1.618500061E2	9.286666463E2
3.238814957E0	8.530125122E2	3.296625061E2	1.617375031E2	9.286908710E2
3.248815373E0	8.528625488E2	3.297187500E2	1.618500061E2	9.285927018E2
3.258814957E0	8.530125122E2	3.299437561E2	1.620937500E2	9.288528473E2
3.268815009E0	8.527125244E2	3.299437561E2	1.621687622E2	9.285904581E2
3.278815009E0	8.528062744E2	3.298687744E2	1.621687622E2	9.286499111E2
3.288815061E0	8.528812866E2	3.297562561E2	1.619812622E2	9.286461150E2
3.298815009E0	8.529750366E2	3.298312683E2	1.621687622E2	9.287915730E2
3.308814957E0	8.533875122E2	3.298687744E2	1.621500092E2	9.291804345E2
3.318815061E0	8.533312988E2	3.297562561E2	1.623375092E2	9.291216072E2
3.328814957E0	8.532562866E2	3.297937622E2	1.622625122E2	9.290529259E2
3.338814957E0	8.530500488E2	3.293812561E2	1.621125031E2	9.286909396E2
3.348814853E0	8.531812744E2	3.294750061E2	1.622625122E2	9.288709219E2
3.358814957E0	8.532375488E2	3.294375000E2	1.622437592E2	9.289060332E2
3.368814957E0	8.532000122E2	3.294937744E2	1.619625092E2	9.288424315E2
3.378816155E0	8.530313110E2	3.294187622E2	1.617187500E2	9.286183783E2
3.388815269E0	8.530687866E2	3.294937744E2	1.615125122E2	9.286435235E2
3.398814957E0	8.530500488E2	3.295125122E2	1.613437500E2	9.286036222E2
3.408814957E0	8.530875244E2	3.295312500E2	1.613062592E2	9.286381848E2
3.418814957E0	8.530313110E2	3.298687744E2	1.613812561E2	9.287194064E2
3.428814957E0	8.530875244E2	3.298312683E2	1.613062592E2	9.287446899E2
3.438814957E0	8.531625366E2	3.299437561E2	1.613062592E2	9.288535435E2
3.448814957E0	8.531625366E2	3.299812622E2	1.617187500E2	9.289385886E2
